frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
15.9050,Саратов,28 марта 2022,USB,Голос,Номерная станция,"Польская внешняя разведка, Agencja Wywiadu, AW","E11a ""Oblique"""
12.1300,Саратов,27 марта 2022,AM,Голос,Радиовещательная,Кувейт,Mashaal Radio
19.1840,Саратов,24 марта 2022,USB,Голос,Номерная станция,"Польская внешняя разведка, Agencja Wywiadu, AW","E11a ""Oblique"""
14.9420,Саратов,24 марта 2022,USB,Голос,Номерная станция,CIS,"E07 ""English Man"""
8.4230,Саратов,24 марта 2022,USB,Голос,Номерная станция,"Польская внешняя разведка, Agencja Wywiadu, AW","E11a ""Oblique"""
152.5250,Краснодар,23 февраля 2022,NFM,Голос,Сухопутная подвижная,РЖД,
152.5250,Ростов-на-Дону,23 февраля 2022,NFM,Голос,Сухопутная подвижная,РЖД,
4.2050,Московская обл.,8 марта 2022,CW,Morse,Фиксированная,Россия,V
156.2750,Екатеринбург,13 июля 2021,NFM,Голос,Сухопутная подвижная,Уралпромжелдортранс,"Квартал, Квартал1"
28.2260,Московская обл.,4 марта 2022,CW,Morse,Любительская,Испания,ED1YCA
168.2250,Заринск,27 февраля 2022,NFM,Голос,Сухопутная подвижная,Газовщики,По названиям населённых пунктов
152.9500,Минеральные Воды,22 февраля 2022,NFM,Голос,Сухопутная подвижная,РЖД,Номер маневрового тепловоза
153.2750,Симферополь,5 февраля 2022,NFM,Голос,Сухопутная подвижная,Крымская ж. д.,ДСП переговаривается с работниками станции
136.0500,Новороссийск,24 февраля 2022,NFM,Голос,иное (см. комментарий),"АЗС, Принадлежность не определенна.","Имена, АЗС колонки по номерам."
152.6250,Заринск,22 февраля 2022,NFM,Голос,Сухопутная подвижная,ОАО РЖД,По именам
157.8250,Заринск,21 февраля 2022,NFM,Голос + CTCSS,Сухопутная подвижная,Алтконс охрана,Не установлены
437.0875,Москва,20 февраля 2022,NFM,Голос + CTCSS,иное (см. комментарий),Пиратский репитер,номерные
151.9500,Заринск,20 февраля 2022,NFM,Голос,Сухопутная подвижная,ОАО РЖД,По должностям и фамилиям
163.7500,Казань,19 февраля 2022,NFM,Голос + CTCSS,Сухопутная подвижная,Аэропорт Казань (UWKD),"цифровые, по фамилиям"
168.1875,Новороссийск,18 февраля 2022,NFM,Голос,Сухопутная подвижная,Служба скорой медицинской помощи,По номерам
27.2350,Тула,16 февраля 2022,NFM,Голос,Сухопутная подвижная,не установлена,произвольные
27.1050,Тула,15 февраля 2022,NFM,Голос,Сухопутная подвижная,Не установлена,Не установлен
6.1700,Саратов,12 февраля 2022,АМ,Голос,Радиовещательная,Пакистан,Feba Radio
0.9950,Кемерово,9 февраля 2022,AM,Morse,Радионавигационная,Аэропорт Кемерово,N
0.4890,Кемерово,9 февраля 2022,AM,Morse,Радионавигационная,Аэропорт Кемерово,NC
119.0000,Кемерово,9 февраля 2022,AM,Голос,Воздушная подвижная,Аэропорт Кемерово,Кемерово-земля
0.7000,Новосибирск,8 февраля 2022,AM,Morse,Радионавигационная,"аэропорт ""Толмачёво""",G
156.1750,Заринск,6 февраля 2022,NFM,Голос,Сухопутная подвижная,Угольный разрез,Без позывных
164.3250,Заринск,6 февраля 2022,NFM,Голос,Сухопутная подвижная,Угольный разрез,По именам или должностям
433.0750,Заринск,3 февраля 2022,NFM,Голос,Сухопутная подвижная,Заринский комбинат ЖБИ,По именам
22.6110,Семилуки,3 февраля 2022,CW,Morse,Морская подвижная,Республика Корея,HLF
161.2250,Заринск,3 февраля 2022,NFM,Голос,Сухопутная подвижная,Угольный карьер,По именам отчествам или должностям
144.9250,Каменск-Шахтинский,2 февраля 2022,NFM,Голос + CTCSS,Любительская,UB6LSU,Любительские
6.0950,Саратов,2 февраля 2022,АМ,Голос,Радиовещательная,Великобритания,BBC
6.1250,Саратов,2 февраля 2022,АМ,Голос,Радиовещательная,Турция,Голос Турции
156.4250,Заринск,1 февраля 2022,NFM,Голос,Сухопутная подвижная,"ООО ЧОП ""Защита""","Северка, 805"
164.4500,Заринск,24 января 2022,NFM,Голос,Сухопутная подвижная,"МЧС РОССИИ, СЛУЖБА СПАСЕНИЯ","Закат-15, Рубин-21, Гром-1, Заря-4 и другие"
135.3250,Самара,30 января 2022,AM,Голос,Воздушная подвижная,УВД-Самара,Самара-контроль
98.6000,Брест,30 января 2022,WFM,Голос,Радиовещательная,Белоруссия,Легенды FM
99.0000,Брест,30 января 2022,WFM,Голос,Радиовещательная,Белоруссия,Народное радио
111.5000,Московская обл.,28 января 2022,AM,Morse,Радионавигационная,"Маяк ILS/DME  19 ВПП, аэродром ""Внуково"" Московская обл.",ITA
148.7750,Новоалтайск,27 января 2022,NFM,Голос,Сухопутная подвижная,Пожарно-спасательная служба МЧС РОССИИ,"Шпагино, Иванова, Белова и по номерам"
